=== 延迟检测日志 | 2026-03-25 14:28:59.902475 ===
[2026-03-25 14:28:59.903] [TCP预检开始] 节点总数=5147 | 并发=300
[2026-03-25 14:29:00.278] [TCP预检] ✅ 通过 | 94.159.98.140:443 | 🇩🇪DE_1
[2026-03-25 14:29:00.279] [TCP预检] ✅ 通过 | 154.3.33.43:443 | 🇭🇰HK_1
[2026-03-25 14:29:00.279] [TCP预检] ✅ 通过 | 211.48.77.114:24095 | 韓國_3
[2026-03-25 14:29:00.280] [TCP预检] ✅ 通过 | 160.153.137.16:443 | 🇺🇸US_133
[2026-03-25 14:29:00.280] [TCP预检] ✅ 通过 | 211.48.77.114:22410 | 🇰🇷KR_5
[2026-03-25 14:29:00.283] [TCP预检] ✅ 通过 | 31.58.50.110:2053 | 🇺🇸US美國
[2026-03-25 14:29:00.284] [TCP预检] ✅ 通过 | 89.169.6.69:443 | 🇩🇪DE
[2026-03-25 14:29:00.286] [TCP预检] ✅ 通过 | 46.32.186.85:443 | 拉脫維亞_1
[2026-03-25 14:29:00.286] [TCP预检] ✅ 通过 | 195.123.210.147:443 | 🇱🇻LV拉脫維亞_1
[2026-03-25 14:29:00.292] [TCP预检] ✅ 通过 | 176.124.198.2:443 | 德國_3
[2026-03-25 14:29:00.293] [TCP预检] ✅ 通过 | 83.147.253.18:443 | 🇩🇪DE_14
[2026-03-25 14:29:00.298] [TCP预检] ✅ 通过 | 94.141.123.231:443 | 🇩🇪DE_11
[2026-03-25 14:29:00.299] [TCP预检] ✅ 通过 | 2001:bc8:32d7:302::15:44579 | US美国(mibei77.com 米贝节点分享) 2
[2026-03-25 14:29:00.314] [TCP预检] ✅ 通过 | 192.46.237.206:443 | 🇩🇪DE_7
[2026-03-25 14:29:00.314] [TCP预检] ✅ 通过 | 45.147.248.115:443 | 🇩🇪DE_10
[2026-03-25 14:29:00.315] [TCP预检] ✅ 通过 | 82.198.246.97:180 | 美國_4
[2026-03-25 14:29:00.316] [TCP预检] ✅ 通过 | 143.20.160.38:443 | 德國_2
[2026-03-25 14:29:00.316] [TCP预检] ✅ 通过 | 78.40.216.169:443 | 🇩🇪DE_9
[2026-03-25 14:29:00.318] [TCP预检] ✅ 通过 | 140.245.42.216:2053 | 新加坡_2
[2026-03-25 14:29:00.327] [TCP预检] ✅ 通过 | 31.58.226.196:8443 | 美國🇺🇸US
[2026-03-25 14:29:00.329] [TCP预检] ✅ 通过 | 45.136.59.44:13344 | 🇳🇱_NL_荷兰->🇺🇸_US_美国
[2026-03-25 14:29:00.329] [TCP预检] ✅ 通过 | krp01.jumperservice.com:19001 | KR_434a6_0016
[2026-03-25 14:29:00.331] [TCP预检] ✅ 通过 | 192.99.169.176:443 | 🇨🇦CA加拿大節點
[2026-03-25 14:29:00.333] [TCP预检] ❌ 失败 | node-nl-main.amnesia.pw:443 | US_434a6_0066 | 原因: gaierror: [Errno 11001] getaddrinfo failed
[2026-03-25 14:29:00.334] [TCP预检] ✅ 通过 | 94.159.110.149:443 | 🇩🇪DE德国
[2026-03-25 14:29:00.336] [TCP预检] ✅ 通过 | www.udemy.com:2095 | US_434a6_0038
[2026-03-25 14:29:00.344] [TCP预检] ✅ 通过 | www.wto.org:2095 | US_434a6_0042
[2026-03-25 14:29:00.344] [TCP预检] ✅ 通过 | 2001:bc8:32d7:302::14:44579 | US美国(mibei77.com 米贝节点分享) 6
[2026-03-25 14:29:00.348] [TCP预检] ✅ 通过 | 94.159.98.123:443 | 🇩🇪DE德国_1
[2026-03-25 14:29:00.348] [TCP预检] ✅ 通过 | 116.93.199.28:21036 | 🇰🇷KR
[2026-03-25 14:29:00.348] [TCP预检] ✅ 通过 | 116.93.199.28:22140 | 韓國_2
[2026-03-25 14:29:00.349] [TCP预检] ✅ 通过 | 185.186.26.101:443 | 🇩🇪DE_2
[2026-03-25 14:29:00.349] [TCP预检] ✅ 通过 | 37.128.207.179:443 | 拉脫維亞節點
[2026-03-25 14:29:00.354] [TCP预检] ✅ 通过 | 2001:bc8:32d7:302::10:44579 | US美国(mibei77.com 米贝节点分享)
[2026-03-25 14:29:00.367] [TCP预检] ✅ 通过 | www.visa.cn:443 | US_434a6_0048
